source_x,source_y,source_z,target_x,target_y,target_z,transformed_x,transformed_y,transformed_z,error
0.000000,0.000000,0.000000,2.500000,1.866000,2.134000,2.224246,1.045988,2.049200,0.869282
1.000000,0.000000,0.000000,3.366000,1.366000,2.634000,3.199500,1.020367,2.268797,0.529676
0.000000,1.000000,0.000000,2.134000,2.366000,1.134000,2.355959,1.911076,1.565180,0.664935
0.000000,0.000000,1.000000,2.366000,1.366000,3.134000,2.046676,1.546955,2.896255,0.437304
1.000000,1.000000,0.000000,3.000000,1.866000,1.634000,3.331213,1.885455,1.784778,0.364438
1.000000,0.000000,1.000000,3.232000,0.866000,3.634000,3.021930,1.521333,3.115852,0.861434
0.000000,1.000000,1.000000,2.000000,1.866000,2.134000,2.178390,2.412042,2.412235,0.638278
1.000000,1.000000,1.000000,2.866000,1.366000,2.634000,3.153644,2.386421,2.631832,1.060189
2.000000,0.000000,0.000000,4.232000,0.866000,3.134000,4.174754,0.994746,2.488395,0.660801
0.000000,2.000000,0.000000,1.768000,3.366000,0.134000,2.487673,2.776163,1.081160,1.327761
-1.000000,0.000000,0.000000,1.634000,2.366000,1.634000,1.248992,1.071610,1.829602,1.364528
0.000000,-1.000000,0.000000,2.866000,0.366000,3.134000,2.092533,0.180901,2.533220,0.996720
1.500000,0.500000,0.500000,3.549000,1.116000,2.884000,3.664199,1.690583,2.560114,0.669566
0.500000,1.500000,0.500000,2.317000,2.616000,1.384000,2.820658,2.581292,1.856496,0.691469
0.500000,0.500000,1.500000,2.683000,1.616000,2.884000,2.511375,2.217171,3.187571,0.694994
